index,CC,LC1,LC2,NFTC1,NFTC2,Saup1,Saup2,Saup3,Saup4,Saup5,Saup6,SFTC,sample-3,sample-4,sample-5,sample-51,sample-52,sample-53,sample-54,sample-6
D_0__Archaea;D_1__Altiarchaeota;D_2__Altiarchaeia;D_3__uncultured archaeon;D_4__uncultured archaeon;D_5__uncultured archaeon;D_6__uncultured archaeon,0,0,0,0,0,7,0,0,2,0,0,0,0,0,0,0,0,0,0,0
D_0__Archaea;D_1__Altiarchaeota;D_2__Altiarchaeia;D_3__uncultured euryarchaeote;D_4__uncultured euryarchaeote;D_5__uncultured euryarchaeote;D_6__uncultured euryarchaeote,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0
D_0__Archaea;D_1__Asgardaeota;D_2__Odinarchaeia;D_3__uncultured euryarchaeote;D_4__uncultured euryarchaeote;D_5__uncultured euryarchaeote;D_6__uncultured euryarchaeote,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
D_0__Archaea;D_1__Asgardaeota;__;__;__;__;__,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
D_0__Archaea;D_1__Crenarchaeota;D_2__Bathyarchaeia;D_3__uncultured Thermofilum sp.;D_4__uncultured Thermofilum sp.;D_5__uncultured Thermofilum sp.;D_6__uncultured Thermofilum sp.,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0
D_0__Archaea;D_1__Crenarchaeota;D_2__Bathyarchaeia;D_3__uncultured euryarchaeote;D_4__uncultured euryarchaeote;D_5__uncultured euryarchaeote;D_6__uncultured euryarchaeote,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
D_0__Archaea;D_1__Crenarchaeota;D_2__Bathyarchaeia;D_3__uncultured methanogenic archaeon;D_4__uncultured methanogenic archaeon;D_5__uncultured methanogenic archaeon;D_6__uncultured methanogenic archaeon,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
D_0__Archaea;D_1__Crenarchaeota;D_2__Bathyarchaeia;__;__;__;__,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0
D_0__Archaea;D_1__Diapherotrites;D_2__Iainarchaeia;D_3__Iainarchaeales;D_4__Diapherotrites archaeon SCGC AAA011-K09;D_5__Diapherotrites archaeon SCGC AAA011-K09;D_6__Diapherotrites archaeon SCGC AAA011-K09,0,0,0,0,0,8,3,0,4,0,0,0,0,0,0,0,0,0,0,0
D_0__Archaea;D_1__Diapherotrites;D_2__Iainarchaeia;D_3__Iainarchaeales;D_4__Diapherotrites archaeon SCGC AAA011-N19;D_5__Diapherotrites archaeon SCGC AAA011-N19;D_6__Diapherotrites archaeon SCGC AAA011-N19,0,0,2,0,0,17,0,3,2,0,0,0,0,0,0,0,0,0,0,0
D_0__Archaea;D_1__Diapherotrites;D_2__Iainarchaeia;D_3__Iainarchaeales;D_4__archaeon GW2011_AR10;D_5__archaeon GW2011_AR10;D_6__archaeon GW2011_AR10,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0
D_0__Archaea;D_1__Diapherotrites;D_2__Iainarchaeia;D_3__Iainarchaeales;D_4__metagenome;D_5__metagenome;D_6__metagenome,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0
D_0__Archaea;D_1__Diapherotrites;D_2__Iainarchaeia;D_3__Iainarchaeales;D_4__uncultured archaeon;D_5__uncultured archaeon;D_6__uncultured archaeon,0,0,0,0,0,5,0,0,14,0,3,0,0,0,0,0,0,0,0,0
D_0__Archaea;D_1__Diapherotrites;D_2__Iainarchaeia;D_3__Iainarchaeales;D_4__uncultured euryarchaeote;D_5__uncultured euryarchaeote;D_6__uncultured euryarchaeote,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0
D_0__Archaea;D_1__Diapherotrites;D_2__Iainarchaeia;D_3__Iainarchaeales;D_4__uncultured prokaryote;D_5__uncultured prokaryote;D_6__uncultured prokaryote,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0
D_0__Archaea;D_1__Diapherotrites;D_2__Iainarchaeia;D_3__Iainarchaeales;__;__;__,0,0,0,0,0,0,2,0,2,2,0,0,0,0,0,0,0,0,0,0
D_0__Archaea;D_1__Diapherotrites;D_2__Micrarchaeia;D_3__Candidatus Micrarchaeota archaeon CG1_02_55_22;D_4__Candidatus Micrarchaeota archaeon CG1_02_55_22;D_5__Candidatus Micrarchaeota archaeon CG1_02_55_22;D_6__Candidatus Micrarchaeota archaeon CG1_02_55_22,0,0,0,0,0,4,2,0,0,0,0,2,0,0,0,0,0,0,0,0
D_0__Archaea;D_1__Diapherotrites;D_2__Micrarchaeia;D_3__uncultured archaeon;D_4__uncultured archaeon;D_5__uncultured archaeon;D_6__uncultured archaeon,0,0,6,0,0,0,2,2,12,0,0,0,0,0,0,0,0,0,0,0
D_0__Archaea;D_1__Diapherotrites;D_2__Micrarchaeia;D_3__uncultured euryarchaeote VAL31-1;D_4__uncultured euryarchaeote VAL31-1;D_5__uncultured euryarchaeote VAL31-1;D_6__uncultured euryarchaeote VAL31-1,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0
D_0__Archaea;D_1__Diapherotrites;D_2__Micrarchaeia;D_3__uncultured euryarchaeote VAL90;D_4__uncultured euryarchaeote VAL90;D_5__uncultured euryarchaeote VAL90;D_6__uncultured euryarchaeote VAL90,0,0,0,0,0,0,0,0,26,0,0,0,0,0,0,0,0,0,0,0
